"","Opinion_A","Opinion_B","No_Opinion","Peak_Rate","Prcnt_Same_Clust","Duration","Links","Expertise_Influence","P_Prop","P_H_SD","Agent_type","Percentage"
"126",49.6783216783217,50.2217782217782,0.0999000999000999,74.784,49.8830160357514,6,13,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.2217782217782
"127",49.9240759240759,49.976023976024,0.0999000999000999,76.932,49.939060202273,6,13.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.976023976024
"128",49.7302697302697,50.1698301698302,0.0999000999000999,77.556,49.9476099378691,6,14,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.1698301698302
"129",49.8581418581419,50.041958041958,0.0999000999000999,79.146,49.8887007167526,6,14.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.041958041958
"130",50.1478521478521,49.7522477522477,0.0999000999000999,78.996,49.9063558549283,6,15,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.7522477522477
"131",50.2077922077922,49.6923076923077,0.0999000999000999,79.098,49.9276775801948,5.84,15.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.6923076923077
"132",50.2457542457542,49.6543456543457,0.0999000999000999,78.896,49.8880692314536,5.78,16,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.6543456543457
"133",49.8961038961039,50.003996003996,0.0999000999000999,78.234,49.8957689638432,5.54,16.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.003996003996
"134",50.1658341658342,49.7342657342657,0.0999000999000999,77.728,49.9294620370258,5.34,17,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.7342657342657
"135",50.1098901098901,49.7902097902098,0.0999000999000999,76.512,49.882831800783,5.16,17.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.7902097902098
"136",50.0659340659341,49.8341658341658,0.0999000999000999,75.69,49.9054435412418,5.08,18,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8341658341658
"137",49.7382617382617,50.1618381618382,0.0999000999000999,74.49,49.9128595858744,5.08,18.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.1618381618382
"138",49.7362637362637,50.1638361638362,0.0999000999000999,73.186,49.8966592114748,5,19,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.1638361638362
"139",50.0919080919081,49.8081918081918,0.0999000999000999,72.066,49.9257157789727,5.02,19.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8081918081918
"140",49.7382617382617,50.1618381618381,0.0999000999000999,70.844,49.8971194787568,5,20,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.1618381618381
"141",49.9520479520479,49.948051948052,0.0999000999000999,69.43,49.8859387950573,5,20.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.948051948052
"142",49.974025974026,49.9260739260739,0.0999000999000999,68.084,49.9427785897367,5,21,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.9260739260739
"143",49.8741258741259,50.025974025974,0.0999000999000999,66.886,49.9062303422915,5,21.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.025974025974
"144",50.1418581418581,49.7582417582418,0.0999000999000999,65.554,49.8987823123489,5,22,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.7582417582418
"145",49.8981018981019,50.001998001998,0.0999000999000999,64.114,49.9105884565583,5,22.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.001998001998
"146",50.1678321678322,49.7322677322677,0.0999000999000999,62.824,49.9162875324602,5,23,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.7322677322677
"147",49.5404595404595,50.3596403596404,0.0999000999000999,61.67,49.9474413544905,5,23.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.3596403596404
"148",50.031968031968,49.8681318681319,0.0999000999000999,59.678,49.9270978416926,5,24,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8681318681319
"149",49.98001998002,49.9200799200799,0.0999000999000999,58.348,49.9296622429757,5,24.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.9200799200799
"150",50.027972027972,49.8721278721279,0.0999000999000999,57.038,49.9002247664901,5,25,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8721278721279
"151",50.017982017982,49.8821178821179,0.0999000999000999,55.338,49.9046570108351,5,25.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8821178821179
"152",50.3076923076923,49.5924075924076,0.0999000999000999,54.296,49.8790779189947,5,26,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.5924075924076
"153",49.7682317682318,50.1318681318681,0.0999000999000999,52.61,49.8935835657028,5,26.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.1318681318681
"154",49.5744255744256,50.3256743256743,0.0999000999000999,51.748,49.8775307793321,5,27,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.3256743256743
"155",50.1918081918082,49.7082917082917,0.0999000999000999,50.95,49.8749417377847,5,27.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.7082917082917
"156",49.972027972028,49.9280719280719,0.0999000999000999,51.33,49.9004908978824,5,28,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.9280719280719
"157",49.8041958041958,50.0959040959041,0.0999000999000999,53.026,49.907112275784,5,28.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.0959040959041
"158",49.9380619380619,49.962037962038,0.0999000999000999,53.864,49.8864788255458,5,29,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.962037962038
"159",50.2997002997003,49.6003996003996,0.0999000999000999,55.254,49.8973899874553,5,29.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.6003996003996
"160",50.1318681318681,49.7682317682318,0.0999000999000999,56.586,49.9231185483949,5,30,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.7682317682318
"161",49.9440559440559,49.9560439560439,0.0999000999000999,57.6,49.854124923481,5,30.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.9560439560439
"162",49.8301698301698,50.0699300699301,0.0999000999000999,59.358,49.9001252407974,5,31,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.0699300699301
"163",49.9100899100899,49.99000999001,0.0999000999000999,59.968,49.872779805383,5,31.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.99000999001
"164",50.0839160839161,49.8161838161838,0.0999000999000999,61.184,49.8727881486762,5,32,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8161838161838
"165",50.2437562437562,49.6563436563437,0.0999000999000999,62.204,49.876680383304,5,32.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.6563436563437
"166",49.9380619380619,49.962037962038,0.0999000999000999,63.418,49.866239327418,5,33,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.962037962038
"167",49.7162837162837,50.1838161838162,0.0999000999000999,64.55,49.89098405704,5,33.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.1838161838162
"168",50.3576423576424,49.5424575424575,0.0999000999000999,65.482,49.8786834618098,5,34,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.5424575424575
"169",49.5604395604396,50.3396603396603,0.0999000999000999,66.252,49.8674617071193,5,34.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.3396603396603
"170",49.952047952048,49.948051948052,0.0999000999000999,67.274,49.8886024847234,5,35,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.948051948052
"171",49.8701298701299,50.02997002997,0.0999000999000999,68.216,49.8971134824063,5,35.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.02997002997
"172",49.5304695304695,50.3696303696304,0.0999000999000999,69.456,49.9030607538077,5,36,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.3696303696304
"173",49.5344655344655,50.3656343656344,0.0999000999000999,70.304,49.9151589861514,5,36.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.3656343656344
"174",49.8961038961039,50.003996003996,0.0999000999000999,70.916,49.8862788093797,5,37,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.003996003996
"175",50.0439560439561,49.8561438561438,0.0999000999000999,71.778,49.9353435172686,5,37.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8561438561438
"176",49.9540459540459,49.9460539460539,0.0999000999000999,72.228,49.8979577291631,5,38,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.9460539460539
"177",50.3356643356643,49.5644355644356,0.0999000999000999,73.27,49.8926255994288,5,38.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.5644355644356
"178",49.9140859140859,49.986013986014,0.0999000999000999,74.31,49.8964177798041,5,39,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.986013986014
"179",50.057942057942,49.8421578421578,0.0999000999000999,74.872,49.8953745342157,5,39.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8421578421578
"180",49.8641358641359,50.035964035964,0.0999000999000999,75.724,49.863482034141,5,40,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.035964035964
"181",49.97002997003,49.9300699300699,0.0999000999000999,76.04,49.8921047977271,5,40.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.9300699300699
"182",49.8681318681319,50.031968031968,0.0999000999000999,76.576,49.8698675038698,5,41,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.031968031968
"183",49.9280719280719,49.972027972028,0.0999000999000999,77.534,49.8773831346702,5,41.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.972027972028
"184",49.8401598401598,50.0599400599401,0.0999000999000999,78.04,49.8840001090545,5,42,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.0599400599401
"185",49.5964035964036,50.3036963036963,0.0999000999000999,78.586,49.8595925812035,5,42.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.3036963036963
"186",50.2337662337662,49.6663336663336,0.0999000999000999,79.1,49.8679872776007,5,43,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.6663336663336
"187",50.0499500499501,49.8501498501499,0.0999000999000999,79.918,49.8885714039062,5,43.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8501498501499
"188",49.7842157842158,50.1158841158841,0.0999000999000999,80.71,49.888345547056,5,44,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.1158841158841
"189",49.7702297702298,50.1298701298701,0.0999000999000999,80.814,49.8895085628499,5,44.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.1298701298701
"190",50.3576423576424,49.5424575424575,0.0999000999000999,81.416,49.8995002436858,5,45,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.5424575424575
"191",50.1538461538462,49.7462537462537,0.0999000999000999,81.824,49.8828967093413,5,45.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.7462537462537
"192",49.9260739260739,49.974025974026,0.0999000999000999,82.67,49.8697992201115,5,46,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.974025974026
"193",50.1758241758242,49.7242757242757,0.0999000999000999,82.988,49.8975907372314,5,46.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.7242757242757
"194",49.6143856143856,50.2857142857143,0.0999000999000999,83.298,49.8848283468819,5,47,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.2857142857143
"195",50.0979020979021,49.8021978021978,0.0999000999000999,84.042,49.9001194159146,5,47.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8021978021978
"196",50.025974025974,49.8741258741259,0.0999000999000999,84.196,49.8939744236535,5,48,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.8741258741259
"197",49.7942057942058,50.1058941058941,0.0999000999000999,84.532,49.8963831055233,5,48.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.1058941058941
"198",49.8281718281718,50.0719280719281,0.0999000999000999,84.602,49.8929604358919,5,49,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.0719280719281
"199",50.5694305694306,49.3306693306693,0.0999000999000999,85.478,49.9176265435133,5,49.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",49.3306693306693
"200",49.7322677322678,50.1678321678322,0.0999000999000999,85.524,49.8626957836457,5,50,"Neutral","1.0 (100% propagation)","0.5","Opinion_B",50.1678321678322
"201",49.6483516483517,50.2517482517482,0.0999000999000999,11.656,49.9333809093755,21.6,0.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"202",49.9160839160839,49.984015984016,0.0999000999000999,17.296,49.7144801074862,15.08,1,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"203",50.03996003996,49.8601398601399,0.0999000999000999,22.168,49.8669778994656,12.36,1.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"204",49.8441558441559,50.0559440559441,0.0999000999000999,25.1,49.882475541735,11.02,2,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"205",50.4895104895105,49.4105894105894,0.0999000999000999,29.514,49.8604227089052,10.06,2.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"206",50.04995004995,49.8501498501499,0.0999000999000999,30.858,49.9274268161986,9.22,3,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"207",50.1998001998002,49.7002997002997,0.0999000999000999,35.674,49.9214266001598,8.9,3.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"208",49.6143856143856,50.2857142857143,0.0999000999000999,37.324,49.9365257613398,8.34,4,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"209",49.992007992008,49.9080919080919,0.0999000999000999,36.72,49.8384573059467,8.04,4.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"210",50.1738261738262,49.7262737262737,0.0999000999000999,38.91,49.8927606644622,7.96,5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"211",49.9020979020979,49.998001998002,0.0999000999000999,43.902,49.8850146661445,7.56,5.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"212",50.1638361638362,49.7362637362637,0.0999000999000999,47.14,49.893699201168,7.14,6,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"213",49.7282717282717,50.1718281718282,0.0999000999000999,49.306,49.8829978789555,7,6.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"214",50.2517482517482,49.6483516483516,0.0999000999000999,50.5,49.9233702188555,7,7,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"215",49.6603396603397,50.2397602397602,0.0999000999000999,49.274,49.9298625655681,7,7.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"216",50.0939060939061,49.8061938061938,0.0999000999000999,48.03,49.9121571541337,7,8,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"217",49.966033966034,49.9340659340659,0.0999000999000999,47.136,49.8891719528604,6.86,8.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"218",50.035964035964,49.8641358641359,0.0999000999000999,48.938,49.8797806389499,6.58,9,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"219",50.1318681318681,49.7682317682318,0.0999000999000999,52.64,49.932172075782,6.26,9.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"220",49.964035964036,49.9360639360639,0.0999000999000999,56.398,49.9220628287332,6.02,10,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"221",49.9400599400599,49.9600399600399,0.0999000999000999,60.27,49.906341213227,6.02,10.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"222",49.7642357642358,50.1358641358641,0.0999000999000999,63.7,49.906586901202,6,11,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"223",49.9160839160839,49.984015984016,0.0999000999000999,65.96,49.8892570433467,6,11.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"224",49.8561438561439,50.043956043956,0.0999000999000999,70.098,49.8693969213864,6,12,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"225",50.3196803196803,49.5804195804196,0.0999000999000999,72.914,49.8912089894199,6,12.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"226",49.6783216783217,50.2217782217782,0.0999000999000999,74.784,49.8830160357514,6,13,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"227",49.9240759240759,49.976023976024,0.0999000999000999,76.932,49.939060202273,6,13.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"228",49.7302697302697,50.1698301698302,0.0999000999000999,77.556,49.9476099378691,6,14,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"229",49.8581418581419,50.041958041958,0.0999000999000999,79.146,49.8887007167526,6,14.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"230",50.1478521478521,49.7522477522477,0.0999000999000999,78.996,49.9063558549283,6,15,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"231",50.2077922077922,49.6923076923077,0.0999000999000999,79.098,49.9276775801948,5.84,15.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"232",50.2457542457542,49.6543456543457,0.0999000999000999,78.896,49.8880692314536,5.78,16,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"233",49.8961038961039,50.003996003996,0.0999000999000999,78.234,49.8957689638432,5.54,16.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"234",50.1658341658342,49.7342657342657,0.0999000999000999,77.728,49.9294620370258,5.34,17,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"235",50.1098901098901,49.7902097902098,0.0999000999000999,76.512,49.882831800783,5.16,17.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"236",50.0659340659341,49.8341658341658,0.0999000999000999,75.69,49.9054435412418,5.08,18,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"237",49.7382617382617,50.1618381618382,0.0999000999000999,74.49,49.9128595858744,5.08,18.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"238",49.7362637362637,50.1638361638362,0.0999000999000999,73.186,49.8966592114748,5,19,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"239",50.0919080919081,49.8081918081918,0.0999000999000999,72.066,49.9257157789727,5.02,19.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"240",49.7382617382617,50.1618381618381,0.0999000999000999,70.844,49.8971194787568,5,20,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"241",49.9520479520479,49.948051948052,0.0999000999000999,69.43,49.8859387950573,5,20.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"242",49.974025974026,49.9260739260739,0.0999000999000999,68.084,49.9427785897367,5,21,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"243",49.8741258741259,50.025974025974,0.0999000999000999,66.886,49.9062303422915,5,21.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"244",50.1418581418581,49.7582417582418,0.0999000999000999,65.554,49.8987823123489,5,22,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"245",49.8981018981019,50.001998001998,0.0999000999000999,64.114,49.9105884565583,5,22.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"246",50.1678321678322,49.7322677322677,0.0999000999000999,62.824,49.9162875324602,5,23,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"247",49.5404595404595,50.3596403596404,0.0999000999000999,61.67,49.9474413544905,5,23.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"248",50.031968031968,49.8681318681319,0.0999000999000999,59.678,49.9270978416926,5,24,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"249",49.98001998002,49.9200799200799,0.0999000999000999,58.348,49.9296622429757,5,24.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"250",50.027972027972,49.8721278721279,0.0999000999000999,57.038,49.9002247664901,5,25,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"251",50.017982017982,49.8821178821179,0.0999000999000999,55.338,49.9046570108351,5,25.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"252",50.3076923076923,49.5924075924076,0.0999000999000999,54.296,49.8790779189947,5,26,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"253",49.7682317682318,50.1318681318681,0.0999000999000999,52.61,49.8935835657028,5,26.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"254",49.5744255744256,50.3256743256743,0.0999000999000999,51.748,49.8775307793321,5,27,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"255",50.1918081918082,49.7082917082917,0.0999000999000999,50.95,49.8749417377847,5,27.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"256",49.972027972028,49.9280719280719,0.0999000999000999,51.33,49.9004908978824,5,28,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"257",49.8041958041958,50.0959040959041,0.0999000999000999,53.026,49.907112275784,5,28.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"258",49.9380619380619,49.962037962038,0.0999000999000999,53.864,49.8864788255458,5,29,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"259",50.2997002997003,49.6003996003996,0.0999000999000999,55.254,49.8973899874553,5,29.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"260",50.1318681318681,49.7682317682318,0.0999000999000999,56.586,49.9231185483949,5,30,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"261",49.9440559440559,49.9560439560439,0.0999000999000999,57.6,49.854124923481,5,30.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"262",49.8301698301698,50.0699300699301,0.0999000999000999,59.358,49.9001252407974,5,31,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"263",49.9100899100899,49.99000999001,0.0999000999000999,59.968,49.872779805383,5,31.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"264",50.0839160839161,49.8161838161838,0.0999000999000999,61.184,49.8727881486762,5,32,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"265",50.2437562437562,49.6563436563437,0.0999000999000999,62.204,49.876680383304,5,32.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"266",49.9380619380619,49.962037962038,0.0999000999000999,63.418,49.866239327418,5,33,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"267",49.7162837162837,50.1838161838162,0.0999000999000999,64.55,49.89098405704,5,33.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"268",50.3576423576424,49.5424575424575,0.0999000999000999,65.482,49.8786834618098,5,34,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"269",49.5604395604396,50.3396603396603,0.0999000999000999,66.252,49.8674617071193,5,34.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"270",49.952047952048,49.948051948052,0.0999000999000999,67.274,49.8886024847234,5,35,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"271",49.8701298701299,50.02997002997,0.0999000999000999,68.216,49.8971134824063,5,35.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"272",49.5304695304695,50.3696303696304,0.0999000999000999,69.456,49.9030607538077,5,36,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"273",49.5344655344655,50.3656343656344,0.0999000999000999,70.304,49.9151589861514,5,36.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"274",49.8961038961039,50.003996003996,0.0999000999000999,70.916,49.8862788093797,5,37,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"275",50.0439560439561,49.8561438561438,0.0999000999000999,71.778,49.9353435172686,5,37.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"276",49.9540459540459,49.9460539460539,0.0999000999000999,72.228,49.8979577291631,5,38,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"277",50.3356643356643,49.5644355644356,0.0999000999000999,73.27,49.8926255994288,5,38.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"278",49.9140859140859,49.986013986014,0.0999000999000999,74.31,49.8964177798041,5,39,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"279",50.057942057942,49.8421578421578,0.0999000999000999,74.872,49.8953745342157,5,39.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"280",49.8641358641359,50.035964035964,0.0999000999000999,75.724,49.863482034141,5,40,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
"281",49.97002997003,49.9300699300699,0.0999000999000999,76.04,49.8921047977271,5,40.5,"Neutral","1.0 (100% propagation)","0.5","No_Opinion",0.0999000999000999
